Center,period,Product Rating (PR)
1369 - 10 Gym Dadar,Q-2024-07-01,
1370 - ETG The Gym Nirman Vihar,Q-2024-07-01,4
1371 - Tip Tapp N Toe,Q-2024-07-01,4
1372 - Elite Edge Fitness,Q-2024-07-01,
1373 - Global Fitness Hub,Q-2024-07-01,4
1376 - The Wellness Club Express Paschim Vihar,Q-2024-07-01,3
138 - Cult Jayanagar,Q-2024-07-01,3.88
1380 - Chisel Punjabi Bagh,Q-2024-07-01,4
1381 - Crossfit Yard,Q-2024-07-01,4
1382 - Red Rocks Gym And Spa,Q-2024-07-01,3.95
1383 - Gold's Gym Wakad,Q-2024-07-01,3.7
1386 - Anytime Fitness Vikaspuri,Q-2024-07-01,3.67
1387 - Squat 2 Fit Unisex Gym,Q-2024-07-01,4
1388 - WaterWorld Aquatic Club - Kapila Resort,Q-2024-07-01,
1389 - Corban Fitness,Q-2024-07-01,3
139 - Cult Basaveshwar Nagar,Q-2024-07-01,3.84
1390 - The Wellness Club Gym Xpress Indirapuram,Q-2024-07-01,4
1391 - Gym City,Q-2024-07-01,3
1397 - Plus Fitness 24*7 South Bopal,Q-2024-07-01,3.56
1398 - Plus Fitness 24*7 Science City,Q-2024-07-01,
1399 - Plus Fitness 24*7 Memnagar,Q-2024-07-01,
1400 - Plus Fitness 24*7 Bodakdev,Q-2024-07-01,3
1401 - Hyatt Pune,Q-2024-07-01,3.89
1406 - Briofit,Q-2024-07-01,
1424 - Shark Fitness (Secunderabad),Q-2024-07-01,3.7
1425 - Coreflex Pilates Studio,Q-2024-07-01,3.93
1427 - KL-27 Gym,Q-2024-07-01,4
1429 - Workout Wonders WOW,Q-2024-07-01,4
"1430 - Cult Gym Thane, Ghodbunder Road",Q-2024-07-01,3.81
1433 - Shred And Tone Gym,Q-2024-07-01,
1434 - 93 Cross Fitness Gym and Spa Sector 82,Q-2024-07-01,3.86
1438 - Core and More Fitness Studio,Q-2024-07-01,4
1439 - Fitt Lounge Gym (By Passerine-Anand Niketan Club),Q-2024-07-01,
144 - Cult Electronic City,Q-2024-07-01,3.87
1440 - Physio Active Pro Fitness Charni Road,Q-2024-07-01,4
1441 - Physio Active Pro Fitness Grant Road,Q-2024-07-01,
1444 - Fitness Yard Indirapuram,Q-2024-07-01,3.67
1446 - Bellissimo Fitness Studio,Q-2024-07-01,4
1447 - Fitness 1 Club Unisex Gym,Q-2024-07-01,3
1450 - 93 Cross Fitness Gym and Spa Sector 91,Q-2024-07-01,3
1451 - Gold's Gym (Breach Candy),Q-2024-07-01,3.63
1453 - Cult Gym Paschim Vihar - B Block,Q-2024-07-01,3.69
1454 - Cult Paschim Vihar - B Block,Q-2024-07-01,3.87
1455 - Beast Brothers Gym,Q-2024-07-01,
1456 - Forever Knight Fitness,Q-2024-07-01,4
1457 - Anytime Fitness Swaroop Nagar,Q-2024-07-01,
1461 - Drona The Fitness Gurukul (Chandra Layout),Q-2024-07-01,3.68
1463 - Fitness Pro Elite,Q-2024-07-01,
1466 - Da Lyfstyle Fitness,Q-2024-07-01,3.73
1470 - Cult Gym Shaikpet,Q-2024-07-01,3.59
1471 - Cult Shaikpet,Q-2024-07-01,3.89
1472 - Cult Gym Hennur,Q-2024-07-01,3.68
"1473 - Cult Gym Thubarahalli, BEML Layout",Q-2024-07-01,3.7
1475 - Cult Hennur,Q-2024-07-01,3.87
"1476 - Cult Thubarahalli, BEML Layout",Q-2024-07-01,3.87
1480 - Global Fitness,Q-2024-07-01,3.83
1482 - AK Fitness,Q-2024-07-01,3.56
1484 - Amritam Yoga Foundation,Q-2024-07-01,4
"1486 - Gold's Gym (Kandivali East, Thakur Mall)",Q-2024-07-01,3.69
149 - Cult Hauz Khas,Q-2024-07-01,3.87
1493 - Fit Hardy Club,Q-2024-07-01,4
1495 - Dark Sweat Health Club,Q-2024-07-01,3.79
1496 - Battle Fit Gym (Sarvodaya Enclave),Q-2024-07-01,3.71
1497 - Cult Gym Kompally,Q-2024-07-01,3.83
1498 - Cult Gym Model Town,Q-2024-07-01,3.66
1499 - Cult Gym Dilsukhnagar,Q-2024-07-01,3.71
15 - GymX Marathahalli,Q-2024-07-01,3.46
1500 - Cult Gym Preet Vihar,Q-2024-07-01,3.67
1501 - Cult Gym Hoodi Main,Q-2024-07-01,3.73
"1502 - Cult Gym Whitefield, Shantiniketan",Q-2024-07-01,3.74
1503 - Cult Gym Koramangala 80 Ft Road,Q-2024-07-01,3.6
1505 - Fitness Cafe 365,Q-2024-07-01,4
1510 - Fitamaze Gym And Fitness Centre,Q-2024-07-01,
1513 - AthaYog Living,Q-2024-07-01,
1514 - Strikeforce Fitness Club,Q-2024-07-01,3
1515 - Cult Gym Gachibowli - Indira Nagar,Q-2024-07-01,3.67
1516 - Body Temple Gym,Q-2024-07-01,
1519 - SET Fitness,Q-2024-07-01,
152 - Cult Banashankari,Q-2024-07-01,3.89
1520 - Stepon Fitness Center,Q-2024-07-01,
1521 - Fitnessize,Q-2024-07-01,4
1522 - Gym Beats Club,Q-2024-07-01,4
1523 - Skale Fitness - Chinmaya Nagar,Q-2024-07-01,3.6
1524 - Dream Fitness,Q-2024-07-01,4
1526 - HY Dance Studio,Q-2024-07-01,3.83
1528 - F45 Training Kukatpally,Q-2024-07-01,
1529 - Muscletech Fitness,Q-2024-07-01,4
1531 - Raptor Fitness,Q-2024-07-01,3.56
1534 - Liger Fitness,Q-2024-07-01,3
1538 - DY Fitness,Q-2024-07-01,
154 - Cult JP Nagar 7th Phase,Q-2024-07-01,3.82
1541 - Ovalnet Badminton Academy,Q-2024-07-01,3.95
1542 - Ninja Fitness,Q-2024-07-01,3
1543 - Reforma Fitness Center,Q-2024-07-01,4
1544 - Fitness Legacy,Q-2024-07-01,3.81
1546 - Foundry Active (Kaggadasapura) - GX,Q-2024-07-01,3.8
1551 - Fit 360 Nagole,Q-2024-07-01,
1552 - Built Fitness,Q-2024-07-01,
"1553 - Cult Gym Rajouri Garden, Z Block",Q-2024-07-01,3.6
"1554 - Cult Rajouri Garden, Z Block",Q-2024-07-01,3.91
1555 - S Gym - Bandlaguda,Q-2024-07-01,
1558 - Fitness Fast Jubilee Hills,Q-2024-07-01,
1559 - Huggett Fitness,Q-2024-07-01,4
156 - Cult Sahakar Nagar,Q-2024-07-01,3.89
1560 - The Core Fit Gym,Q-2024-07-01,3.38
1562 - Muscle Headquarter Krishana Nagar (OM Fitness Club),Q-2024-07-01,4
1563 - The Park Bangalore,Q-2024-07-01,4
1566 - Studio 19,Q-2024-07-01,3.67
1569 - Tap Out,Q-2024-07-01,3.22
157 - Cult Marathahalli,Q-2024-07-01,3.85
1573 - Zest Fitness Studio - Electronics City,Q-2024-07-01,4
1577 - Evolution Fitness Gym Dwarka,Q-2024-07-01,4
1579 - Revive 360 Degree,Q-2024-07-01,
1584 - Lets Get Fit- Kalyan Nagar,Q-2024-07-01,4
1585 - Lets Get Fit- Babusapalya,Q-2024-07-01,3.89
1586 - Volt Fitness Studio (Begumpet),Q-2024-07-01,3.62
1587 - Fitdeh Fitness Gym,Q-2024-07-01,3.83
1588 - Mas Gym,Q-2024-07-01,3
159 - Cult Yelahanka,Q-2024-07-01,3.9
1592 - Vision of Christ fitness Center - Hongasandra,Q-2024-07-01,
1596 - O2 Health Studio Okkiyam - Thuraipakkam,Q-2024-07-01,3.92
1598 - V2 Health Studio,Q-2024-07-01,3.45
1599 - Virtu Fitness- Madipakkam,Q-2024-07-01,3.76
160 - Cult Bannerghatta Main Rd,Q-2024-07-01,3.9
1605 - Olympia Fitness Zone - Malhaur Gomti Nagar,Q-2024-07-01,
161 - Cult RR Nagar,Q-2024-07-01,3.89
1613 - Athlete's the Gym,Q-2024-07-01,4
1615 - Lead Fitness,Q-2024-07-01,3.71
1616 - C3 Fitness- Royapuram,Q-2024-07-01,3
1617 - C3 Fitness- MKB Nagar,Q-2024-07-01,4
1619 - Maidan Athletic Club,Q-2024-07-01,2.5
162 - Cult Kannamangala,Q-2024-07-01,3.91
1623 - SportsFit By M.S. Dhoni RDC,Q-2024-07-01,
1624 - Evo Fitness,Q-2024-07-01,
"1631 - Cult Gym Rohini, Sector 11",Q-2024-07-01,3.45
"1632 - Cult Gym Tulip Chowk, Sector 69",Q-2024-07-01,3.62
1634 - Cult Gym Thanisandra (Near Bhartiya City),Q-2024-07-01,3.61
"1635 - Cult Gym Srinivasapura, RR Nagar",Q-2024-07-01,3.68
1638 - Dancend,Q-2024-07-01,
"1639 - Cult Rohini, Sector 11",Q-2024-07-01,3.9
"1640 - Cult Tulip Chowk, Sector 69",Q-2024-07-01,3.91
1644 - Cult Thanisandra (Near Bhartiya City),Q-2024-07-01,3.8
"1645 - Cult Srinivasapura, RR Nagar",Q-2024-07-01,3.92
1648 - Fusion Fitness - Aliganj,Q-2024-07-01,1
1652 - Pure Training Gym,Q-2024-07-01,
1655 - SR Indoor Swimming Pool Miyapur,Q-2024-07-01,3
1656 - SR Indoor Swimming Pool,Q-2024-07-01,
1661 - Cult South Extension,Q-2024-07-01,3.7
1669 - Burn Out Elite Unisex Fitness Studio - Kolathur,Q-2024-07-01,3.75
167 - Cult Banjara Hills,Q-2024-07-01,3.89
1670 - B2W-BORN To Win Unisex Health And Fitness Studio,Q-2024-07-01,4
1676 - Gold's Gym (Eco World Bellandur),Q-2024-07-01,3.94
1677 - Cult.Play JP Nagar The BigBox,Q-2024-07-01,3.63
168 - Cult Kondapur,Q-2024-07-01,3.86
1681 - Body Scientist Gym,Q-2024-07-01,4
"1684 - Cult Fitnest Prime, Prashant Vihar",Q-2024-07-01,3.9
1692 - Vibe Fitness Studio (Kompally),Q-2024-07-01,3.7
1697 - Raptor Fitness,Q-2024-07-01,3.56
1698 - F99 Fit (Pragathi Nagar),Q-2024-07-01,3.73
170 - Cult Kukatpally,Q-2024-07-01,3.88
1703 - Jaguar Gym - Pragathi Nagar,Q-2024-07-01,3.33
1704 - Jaguar Gym - Miyapur,Q-2024-07-01,
1707 - Sri Shankara Yoga Kendra - Malleshwaram,Q-2024-07-01,
171 - Cult Vasant Kunj,Q-2024-07-01,3.89
1712 - Cult Gym Bahu Plaza Main,Q-2024-07-01,3.66
1717 - Cult Bahu Plaza Main,Q-2024-07-01,3.89
172 - Cult Gachibowli,Q-2024-07-01,3.85
1732 - Gold's Gym (Sarjapur),Q-2024-07-01,3.85
174 - Cult Rajouri Garden,Q-2024-07-01,3.91
1745 - The fitness lounge - Jerai Fitness,Q-2024-07-01,
1751 - Your Fitness JB Nagar,Q-2024-07-01,2.33
1758 - 10 The Health Spa - Bandra West,Q-2024-07-01,
1760 - Patels Gym,Q-2024-07-01,4
1762 - Fitness Art,Q-2024-07-01,2
1771 - Pavillion Fitness,Q-2024-07-01,4
1772 - LC Fitness Club,Q-2024-07-01,
1774 - Khalsa Gym,Q-2024-07-01,3.83
1776 - Crunch Fitness Club,Q-2024-07-01,4
1779 - Carewell Fitness The Gym,Q-2024-07-01,
1788 - HighFit Fitness Sangvi,Q-2024-07-01,3
1789 - HighFit Fitness Balewadi,Q-2024-07-01,
1791 - Elite Fit Katraj,Q-2024-07-01,3.5
1797 - Physc Gym-Hadapsar,Q-2024-07-01,4
18 - Fit 24,Q-2024-07-01,3.69
1801 - DNA Fitness,Q-2024-07-01,
1802 - Physc Gym-Pimpri,Q-2024-07-01,3.67
1807 - F5 Gym And Fitness,Q-2024-07-01,
1809 - Warrior Gym,Q-2024-07-01,3.48
1810 - Warrior Fitness Gyms,Q-2024-07-01,4
1812 - Cult Gym Lokhandwala,Q-2024-07-01,3.74
1815 - Urbounce Fitness,Q-2024-07-01,3.92
1818 - Fitness Ki Chowki-Viman Nagar,Q-2024-07-01,4
182 - Cult Basavanagudi,Q-2024-07-01,3.88
1822 - Planet health Center,Q-2024-07-01,4
1825 - Rebound Wellness,Q-2024-07-01,4
1829 - Luxury Akhada Punjabi Bagh,Q-2024-07-01,
183 - Cult Chandra Layout Maruthi Nagar,Q-2024-07-01,3.9
1830 - Boss Fitness - Vinayagapuram,Q-2024-07-01,3
1833 - Boss Fitness -  Keeranatham,Q-2024-07-01,3.37
1835 - Boss Fitness -  Vadavalli,Q-2024-07-01,
184 - Cult Begumpet,Q-2024-07-01,3.89
1840 - Cult Gym Mittal's City Mall Bathinda,Q-2024-07-01,3.75
1844 - Five The Fitness Hive,Q-2024-07-01,3.49
1850 - Cult Gym Banjara Hills,Q-2024-07-01,3.72
1851 - Swimlife-Cult.Play-Museum Road,Q-2024-07-01,3.64
1852 - HRX Gym RR Nagar,Q-2024-07-01,3.62
1853 - Oxen Gym And Spa,Q-2024-07-01,
1854 - The Bodyline Gym Sector 55,Q-2024-07-01,3
1856 - Aura Gymz,Q-2024-07-01,4
1860 - Xumo Fitness,Q-2024-07-01,3.33
1866 - Anytime Fitness Punjabi Bagh,Q-2024-07-01,3.33
1867 - Anytime Fitness Palam Vihar,Q-2024-07-01,3.74
1869 - Anytime Fitness Rajouri Garden,Q-2024-07-01,3.75
1871 - Cult Gachibowli - Indira Nagar,Q-2024-07-01,3.89
1872 - Cult Gym BTM 2nd Stage,Q-2024-07-01,3.49
1877 - Cult Mittal's City Mall Bathinda,Q-2024-07-01,3.95
1884 - Just Fitt Gym and Spa,Q-2024-07-01,
1890 - Mohit yoga studio,Q-2024-07-01,
1892 - Spartans Club Gym,Q-2024-07-01,
1896 - Daybreakers X Wellness Gym,Q-2024-07-01,4
1898 - Delhi Combat MMA And Crossfit,Q-2024-07-01,3.86
1899 - Fighting Choice Sector 141,Q-2024-07-01,
1902 - Raw Crossfit,Q-2024-07-01,4
1908 - Vie Fit Malad,Q-2024-07-01,4
191 - Cult Janakpuri,Q-2024-07-01,3.92
192 - Cult Patel Nagar,Q-2024-07-01,3.95
1920 - 6262 Fitness - Bandra,Q-2024-07-01,4
1922 - Evolve Fitness Airoli,Q-2024-07-01,
1929 - Perfect Strength Fitness Club,Q-2024-07-01,
193 - Cult Kalyan Nagar,Q-2024-07-01,3.86
1930 - Bodh CrossFit,Q-2024-07-01,4
1931 - Gold's Gym Mulund West,Q-2024-07-01,3.69
1932 - Cult Elpro Mall-PCMC,Q-2024-07-01,3.92
1933 - Achiever Gym,Q-2024-07-01,
1934 - FIT I'M GYM,Q-2024-07-01,4
1935 - BodyCult Gym,Q-2024-07-01,
1936 - Absolut Gym Jamshedpur,Q-2024-07-01,
1937 - Anand Fitness Vision,Q-2024-07-01,4
194 - Cult Botanical Garden Rd,Q-2024-07-01,3.84
1943 - Activ8 Studio - Juhu,Q-2024-07-01,
1952 - Anytime Fitness Navrangpura,Q-2024-07-01,4
1962 - Cult Gym Hesarghatta Road,Q-2024-07-01,3.42
1963 - Mobb Gym,Q-2024-07-01,4
1967 - Cult Hesaraghatta Road,Q-2024-07-01,3.86
1968 - Cult Gym Hennur Gardens (earlier Kothanur),Q-2024-07-01,3.72
1969 - Cult Gym Sarjapur - Dommasandra,Q-2024-07-01,3.66
1970 - Cult Sarjapur - Dommasandra,Q-2024-07-01,3.9
"1971 - Cult Gym HRBR Layout, Banaswadi",Q-2024-07-01,3.53
"1972 - Cult HRBR Layout, Banaswadi",Q-2024-07-01,3.85
1973 - Fit Circle Community,Q-2024-07-01,3
1975 - Component Fitness Janakpuri,Q-2024-07-01,3.9
1979 - Shred Fitness,Q-2024-07-01,3.59
1985 - Divine Fitness,Q-2024-07-01,3.7
1988 - X Core Fitness,Q-2024-07-01,
1989 - RDX Arena Pro (Ex: Meraki Fitness Studio (Sec - 122)),Q-2024-07-01,3.53
1990 - Fit 22 The Gym Palam Vihar,Q-2024-07-01,3.33
1991 - Cult Gym Lower Parel,Q-2024-07-01,3.78
1992 - Cult Lower Parel,Q-2024-07-01,3.88
1995 - L7 Fitness Studio (Ex Commando Fitness),Q-2024-07-01,3.62
1996 - Cult Gym Chembur,Q-2024-07-01,3.8
1997 - Cult Hennur Gardens (earlier Kothanur),Q-2024-07-01,3.9
1999 - Cult Gym Puppalaguda,Q-2024-07-01,3.69
20 - Moments Fitness Hub 2.0,Q-2024-07-01,3.62
200 - Cult Madinaguda,Q-2024-07-01,3.88
2001 - Dynamic Fitness,Q-2024-07-01,
2005 - Cult Gym RR Nagar Ideal Homes Layout,Q-2024-07-01,3.74
2006 - Cult Gym Banashankari 3rd Stage,Q-2024-07-01,3.71
2007 - Cult Banashankari 3rd Stage,Q-2024-07-01,3.89
2008 - Cult Puppalaguda,Q-2024-07-01,3.88
201 - Cult Pitampura,Q-2024-07-01,3.82
2011 - Fitness Xpress Greater Noida,Q-2024-07-01,
2012 - Concept Fitness - Model Town,Q-2024-07-01,4
2013 - Concept Fitness - Kidwai Nagar,Q-2024-07-01,
2014 - Body Sculpt - The Personal Training Studio,Q-2024-07-01,
2015 - R Fitness - Boduppal,Q-2024-07-01,3
2018 - Cult Gym Vijayanagar,Q-2024-07-01,3.62
"2019 - Cult Gym Wave One, Sec-18",Q-2024-07-01,3.78
202 - Cult Whitefield Hopefarm,Q-2024-07-01,3.85
2020 - Cult Vijayanagar,Q-2024-07-01,3.85
"2021 - Cult Wave One, Sec-18",Q-2024-07-01,3.9
2023 - GymX Fitness Redefined (HBR Layout),Q-2024-07-01,3.62
2027 - BodyCraft Fitness and wellness,Q-2024-07-01,4
2028 - RK Fitness Club,Q-2024-07-01,
203 - Cult Frazer Town,Q-2024-07-01,3.86
2030 - Area 61,Q-2024-07-01,4
2037 - Fit24 - Uttarahalli,Q-2024-07-01,
2041 - Elevate Wellness Club Sector 32,Q-2024-07-01,4
2042 - Fit N Fab (Only For Women) - Pitampura,Q-2024-07-01,3
2046 - Quadz Fitness - Rajajinagar 1st Block,Q-2024-07-01,3.6
2051 - Figure Factory Gym,Q-2024-07-01,
2052 - Way to Fitness,Q-2024-07-01,
2053 - A2B Fitness Club,Q-2024-07-01,4
2054 - The Fit Tribe,Q-2024-07-01,4
2058 - Fitness Warehouse Pitampura,Q-2024-07-01,4
2064 - Slam Fitness - Gerugambakkam,Q-2024-07-01,3.33
2065 - Slam Fitness - Kattupakkam,Q-2024-07-01,3.15
2067 - Slam Fitness - Ambattur,Q-2024-07-01,3.5
2069 - Nitrro Wellness and Fitness Hub Kothrud,Q-2024-07-01,3.11
208 - Cult Model Town,Q-2024-07-01,3.89
2083 - All Time Fitness,Q-2024-07-01,3.67
2084 - NMOD Fitness Club,Q-2024-07-01,3.55
2089 - Cult.Play Kanakpura Rd Eagle Nest Sports Academy,Q-2024-07-01,3.67
2090 - Plus Fitness 24*7 Belapur,Q-2024-07-01,
2094 - Trident Fitness Studio (Vidyaranyapura),Q-2024-07-01,3.64
21 - Zest Fitness,Q-2024-07-01,3.37
2100 - Cult Gym Station Road,Q-2024-07-01,3.57
2102 - Hybrid Gym,Q-2024-07-01,3.9
2104 - Laps Swimming Academy - Nagasandra,Q-2024-07-01,
2105 - Abrahams Cardio Gym,Q-2024-07-01,
2106 - Fitness Lifestyle Yoga FLY,Q-2024-07-01,
2108 - Cult Gym Dayanand Vihar,Q-2024-07-01,3.65
2109 - Cult Dayanand Vihar,Q-2024-07-01,3.86
2111 - Metrocity Sports and Health Club,Q-2024-07-01,4
212 - Cult Sarjapur Doddakannalli,Q-2024-07-01,3.85
213 - Cult Rajajinagar,Q-2024-07-01,3.89
2132 - Gold's Gym (Kondapur),Q-2024-07-01,3.75
2137 - Cult Gym Tilak Nagar,Q-2024-07-01,3.55
2138 - Cult Tilak Nagar,Q-2024-07-01,3.9
2139 - Creed Culture GYM,Q-2024-07-01,3.59
2148 - Varun Fitness Studio - Prashanth Nagar,Q-2024-07-01,4
2150 - Varun Fitness Centre,Q-2024-07-01,4
2151 - Cult Gym Ghatkopar,Q-2024-07-01,3.76
2152 - Cult Ghatkopar,Q-2024-07-01,3.86
216 - Cult Eros Sector 49,Q-2024-07-01,3.9
219 - Cult Madhapur,Q-2024-07-01,3.85
221 - Cult South Extension (deprecated),Q-2024-07-01,3.91
2216 - Dynamic Fitness Studio,Q-2024-07-01,3.67
2217 - Dheerus Gym,Q-2024-07-01,3.92
2221 - Her Fitness Rajouri Garden,Q-2024-07-01,3.5
2222 - Her Fitness Kirti Nagar,Q-2024-07-01,
2223 - Her Fitness Punjabi Bagh,Q-2024-07-01,3.33
2224 - Her Fitness Prashant Vihar,Q-2024-07-01,3
2228 - Cult Kondapur (Raghavendra Colony),Q-2024-07-01,3.89
2232 - Cult Gym Nirlon Knowledge Park (Employees Only),Q-2024-07-01,3.71
2233 - Cult Gym Kanakpura,Q-2024-07-01,3.8
2234 - Cult Gym Kaggadasapura,Q-2024-07-01,3.55
2235 - Cult Kaggadasapura,Q-2024-07-01,3.86
2239 - Plej Fitness - Jayanagar,Q-2024-07-01,4
224 - Cult Hiranandani Gardens,Q-2024-07-01,3.93
2241 - Multifit Aundh,Q-2024-07-01,3.56
2244 - Cardio Prime Gym Vasundhara,Q-2024-07-01,
2247 - La Fitnesse Select,Q-2024-07-01,
2248 - Fitness & More Gym,Q-2024-07-01,4
2249 - Total Fit Gym,Q-2024-07-01,3.88
2251 - 3Monkey's Gym,Q-2024-07-01,4
2252 - Optima X Fitness Club,Q-2024-07-01,3.8
2254 - Cult Station Road,Q-2024-07-01,3.88
2255 - BarbellBoss Fitness,Q-2024-07-01,4
2258 - The Workout Place,Q-2024-07-01,3
2260 - AR Fitness Hub,Q-2024-07-01,
2261 - Fitness Freak Extension,Q-2024-07-01,
2262 - Fitness Freak Sector 70,Q-2024-07-01,3
2265 - Gold's Gym Greater Noida,Q-2024-07-01,
2266 - Gold's Gym Greater Noida West,Q-2024-07-01,3.62
2267 - Brahma Fitness,Q-2024-07-01,3.68
227 - Cult AS Rao Nagar,Q-2024-07-01,3.94
2270 - Dream Fitness U-25,Q-2024-07-01,4
2272 - Astrix Fitness,Q-2024-07-01,3.6
2273 - GymX Fitness Redefined (Sarjapur),Q-2024-07-01,3.7
2274 - GK Wellness Studio,Q-2024-07-01,3.69
2275 - Gold's Gym Hinjewadi,Q-2024-07-01,3.94
2277 - PH Prime Hot Yoga NIBM,Q-2024-07-01,3.17
2278 - PH Prime Hot Yoga Fatima Nagar,Q-2024-07-01,
228 - Cult Himayatnagar,Q-2024-07-01,3.88
2281 - Pro Performance Strength And Conditioning Wadgaon Sheri,Q-2024-07-01,4
2287 - MMA Warriors Fight Club And Fitness Hub Uttam Nagar,Q-2024-07-01,
2288 - Quantum Fitness,Q-2024-07-01,
2297 - Diva Yoga Harrington Road,Q-2024-07-01,3.75
23 - Rush Fitness,Q-2024-07-01,3.71
230 - Cult Hoodi,Q-2024-07-01,3.87
2300 - Diva Yoga - Mount Road,Q-2024-07-01,3.6
2301 - Diva Yoga - T Nagar,Q-2024-07-01,4
2303 - Diva Yoga - Velachery,Q-2024-07-01,4
2304 - Resistance 60,Q-2024-07-01,3.67
231 - Cult Akshayanagar,Q-2024-07-01,3.85
2311 - Cult Gym HSR 5th Main,Q-2024-07-01,3.66
2317 - Absolute Fitness,Q-2024-07-01,3
2319 - Cult Nirlon Knowledge Park (Employees Only),Q-2024-07-01,3.85
232 - Cult Brigade Road,Q-2024-07-01,3.83
2322 - Cult Chembur,Q-2024-07-01,3.89
2323 - Crossfit 9one,Q-2024-07-01,
2327 - Cult.Play Hongasandra DEE Sports,Q-2024-07-01,3.55
2328 - Cult Gym New BEL Road,Q-2024-07-01,3.64
2329 - Cult New BEL Road,Q-2024-07-01,3.84
"2330 - Cult Gym Spectrum, Sector 75",Q-2024-07-01,3.61
"2331 - Cult Spectrum, Sector 75",Q-2024-07-01,3.89
2345 - ZenXFit,Q-2024-07-01,3.6
2346 - Cult Harlur Swimming,Q-2024-07-01,3.66
2348 - One All Fitness,Q-2024-07-01,3.62
235 - Cult Lajpat Nagar (earlier Ring Road),Q-2024-07-01,3.92
2353 - Intense Fitness,Q-2024-07-01,
2354 - Anytime Fitness Rohini,Q-2024-07-01,3.75
2355 - Energyia Fitness Centre,Q-2024-07-01,4
2356 - Nani's School of Fitness (Hebbal),Q-2024-07-01,3.63
2358 - 3D The Gym Tilak Nagar,Q-2024-07-01,
2359 - 3D The Gym Saket,Q-2024-07-01,
236 - Cult Preet Vihar,Q-2024-07-01,3.89
2361 - Inshape Gym,Q-2024-07-01,3.36
2364 - Metabolic Fitness,Q-2024-07-01,3
2367 - Diva Yoga Andheri,Q-2024-07-01,
"2371 - Gold's Gym (Greater Kailash, Jammu)",Q-2024-07-01,3.61
2376 - Cult Lecaprio Splash Swimming,Q-2024-07-01,3.64
2378 - MS Fitness Club (Yelahanka),Q-2024-07-01,3.69
2379 - Skale Fitness - Kolathur,Q-2024-07-01,3.2
2380 - Skale Fitness - Porur,Q-2024-07-01,4
2383 - Diva Yoga Powai,Q-2024-07-01,3.71
2385 - GR Fitness Maninagar,Q-2024-07-01,3
2393 - Kunakshis Kore Body Pilates,Q-2024-07-01,
2396 - Dr Fit Multi Gym And Fitness Studio - Uttarpara,Q-2024-07-01,
24 - Conquer Gym,Q-2024-07-01,3.78
2400 - Iron Regime Fitness,Q-2024-07-01,
2409 - I Lift Fitness (Green Park Extension),Q-2024-07-01,3.68
2410 - Gold's Gym (Narsingi),Q-2024-07-01,3.73
2411 - Cult Dwarka 10 Swimming,Q-2024-07-01,3.67
2412 - Cult Gym Sector 45 Gurgaon,Q-2024-07-01,3.56
2413 - Cult Sector 45 Gurgaon,Q-2024-07-01,3.82
2414 - Cult Gym RT Nagar Road,Q-2024-07-01,3.57
2415 - Cult RT Nagar Road,Q-2024-07-01,3.85
2417 - Real Fitness,Q-2024-07-01,3.75
"2418 - Cult Gym JP Nagar, 3rd Phase",Q-2024-07-01,3.68
2419 - Fitness Evogue,Q-2024-07-01,
242 - Cult Tardeo,Q-2024-07-01,3.9
2422 - Brad Fitness 2.0,Q-2024-07-01,3.58
"2423 - Cult JP Nagar, 3rd Phase",Q-2024-07-01,3.84
"2424 - Cult Gym Hazipur, Sector 104, Noida",Q-2024-07-01,3.68
"2426 - Cult Gym RBI Layout, JP Nagar 7th Phase",Q-2024-07-01,3.64
2428 - Cult Gym Banjara Hills Road No. 2,Q-2024-07-01,3.72
2429 - Cult Banjara Hills Road No. 2,Q-2024-07-01,3.88
243 - Cult Banaswadi,Q-2024-07-01,3.89
2430 - Cult Neo Gym Begur,Q-2024-07-01,3.68
2431 - Cult Neo Gym TC Palya,Q-2024-07-01,3.73
2432 - Cult Gym Moti Nagar,Q-2024-07-01,3.55
2436 - Divine Gym,Q-2024-07-01,4
2437 - Cult Moti Nagar,Q-2024-07-01,3.85
2438 - K6 Fitness Studio,Q-2024-07-01,3.33
2439 - Cult Gym Nepean Sea Road,Q-2024-07-01,3.66
2442 - Sqorfit Gym Sector 43,Q-2024-07-01,3.5
2443 - Gold's Gym - Sasthamangalam,Q-2024-07-01,3.66
245 - Cult DLF Phase 1,Q-2024-07-01,3.88
2451 - Cloud Fitness,Q-2024-07-01,3.74
2452 - Global Fitness - Kulathoor,Q-2024-07-01,3.54
2453 - Global Fitness - Sreekariyam,Q-2024-07-01,3.5
2454 - Mighty Fitness Club,Q-2024-07-01,3.47
2455 - Moments Fitness Hub 3.0 (Begur),Q-2024-07-01,3.67
2457 - Urbounce - The Club,Q-2024-07-01,
2460 - The Fitness Connection,Q-2024-07-01,
2461 - Gain Town Fitness Club,Q-2024-07-01,3.83
2462 - Energetic Fitness Gym,Q-2024-07-01,3.75
2464 - Real Steel Fitness Center,Q-2024-07-01,3
"2465 - Cult Gym Kumaraswamy Layout, Yelachenahalli",Q-2024-07-01,3.64
2467 - Clan Fitness Club,Q-2024-07-01,3.7
2469 - Raptor Fitness (Addagutta),Q-2024-07-01,3.63
247 - Cult LB Nagar,Q-2024-07-01,3.89
2470 - Animal Gym (Ex Muscle Madness),Q-2024-07-01,3.58
